PUBLISHER,BRAND_NAME,BRAND_IMPRESSIONS,AVG_CPA,AVG_CPO,CONV_COUNT,TOTAL_AD_SPEND,RPM,CVR,Cost_Per_Conversion,Brand_Score,Bayesian_Rank,Pub_Impr_Rank,RPM_Rank,Agg_Rank,Clean_Agg_Rank
Sol de Janeiro,Little Words Project,4322,15.0,10.0,225,2845.0,658.26,0.0521,13.27,0.42856453372201897,10.0,4.0,2.0,6.0,4.0
Sol de Janeiro,Bodily,85,,,0,0.0,0.0,0.0,28.14,0.8996544301475913,2.0,4.0,12.0,7.0,5.0
Sol de Janeiro,Laura Geller,73724,15.0,0.0,1384,17520.0,237.64,0.0188,12.3,0.39417164589708187,11.0,4.0,3.0,7.0,6.0
Sol de Janeiro,Afloral,949,30.0,20.0,1,30.0,31.61,0.0011,24.07,0.6787455235190207,6.0,4.0,9.0,7.5,7.0
Sol de Janeiro,Dollar Shave Club,4072,30.0,5.0,14,175.0,42.98,0.0034,13.45,0.4892854040174909,9.0,4.0,6.0,7.5,8.0
Sol de Janeiro,"Dermaclara, LLC",1399,15.0,10.0,19,210.0,150.11,0.0136,12.17,0.3431325231425621,12.0,4.0,4.0,8.0,9.0
Sol de Janeiro,Love Your Melon,399,,,0,0.0,0.0,0.0,21.85,0.7267826288406034,5.0,4.0,13.0,9.0,10.0
Sol de Janeiro,biom,3850,,,0,0.0,0.0,0.0,18.75,0.6299072366960434,7.0,4.0,14.0,10.5,11.0
Sol de Janeiro,Solly Baby,78,,,0,0.0,0.0,0.0,18.0,0.5810351651109587,8.0,4.0,15.0,11.5,12.0
Sol de Janeiro,Dr. Squatch,4446,25.0,1.0,13,62.0,13.95,0.0029,10.24,0.202843711690493,13.0,4.0,10.0,11.5,13.0
Sol de Janeiro,Beyond Polish,8164,8.0,0.0,9,64.0,7.84,0.0011,6.62,0.15401025126210216,14.0,4.0,11.0,12.5,14.0
Sol de Janeiro,AAVRANI,1631,60.0,50.0,1,60.0,36.79,0.0006,60.0,0.0,20.0,4.0,8.0,14.0,15.0
Sol de Janeiro,Tubby Todd Bath Co.,549,10.0,0.0,1,0.0,0.0,0.0018,4.66,0.09585219649217641,15.0,4.0,16.0,15.5,16.0
Sol de Janeiro,Newton Baby,1144,,,0,0.0,0.0,0.0,2.61,0.056975588096180384,16.0,4.0,17.0,16.5,17.0
Sol de Janeiro,MANSCAPED,10327,,,0,0.0,0.0,0.0,0.01,0.00917014971476008,17.0,4.0,18.0,17.5,18.0
Sol de Janeiro,120/Life,1881,,,0,0.0,0.0,0.0,20.0,0.0,18.0,4.0,19.0,18.5,19.0
Sol de Janeiro,UNTUCKit,813,,,0,0.0,0.0,0.0,30.67,0.0,19.0,4.0,20.0,19.5,20.0
Caden Lane,Willow Pumps,10513,73.0,0.0,186,11880.0,1130.03,0.0177,63.46,1.0,1.0,5.0,2.0,1.5,1.0
Caden Lane,Morphe,2706,45.0,25.0,27,1095.0,404.66,0.01,38.0,0.9603753004430631,2.0,5.0,4.0,3.0,2.0
Caden Lane,Bodily,19856,35.0,12.0,438,12326.0,620.77,0.0221,28.14,0.8996544301475913,3.0,5.0,3.0,3.0,3.0
Caden Lane,Once Upon a Farm,3062,40.0,0.0,20,560.0,182.89,0.0065,28.0,0.8676747396160122,4.0,5.0,7.0,5.5,4.0
Caden Lane,Lalo,2944,20.0,10.0,234,4180.0,1419.84,0.0795,17.93,0.49020724538355354,11.0,5.0,1.0,6.0,5.0
