"ORDER_DATE","IMPRESSION_SEQUENCE","ORDER_COUNT","SESSION_COUNT","ADVERTISER_COUNT","CONV_COUNT","AD_SPEND"
"2024-03-17","subsequent_under_half_week","4899","8691","22883","67",749.42
"2024-03-18","first_day","46509","56765","139847","802",7617.54
"2024-03-18","subsequent_over_half_week","8897","24001","65862","190",2583.4
"2024-03-18","subsequent_under_half_week","5547","9880","25443","74",849.98
"2024-03-19","first_day","43066","52679","129754","545",8865.12
"2024-03-19","subsequent_over_half_week","8534","23332","65116","118",2090.98
"2024-03-19","subsequent_under_half_week","5402","9436","24951","48",848
"2024-03-20","first_day","43483","53533","130636","497",7666.33
"2024-03-20","subsequent_over_half_week","9337","26206","72372","99",1532.5
"2024-03-20","subsequent_under_half_week","6177","10727","27909","64",1245
"2024-03-21","first_day","47985","60686","145531","508",7454.45
"2024-03-21","subsequent_over_half_week","10803","29596","82799","140",1637.9
"2024-03-21","subsequent_under_half_week","6585","11389","29660","75",1338.01
"2024-03-22","first_day","48782","62375","153439","562",9249.7
"2024-03-22","subsequent_over_half_week","11674","33154","91692","198",2784.11
"2024-03-22","subsequent_under_half_week","6035","10350","27366","98",1646
"2024-03-23","first_day","48870","61383","150247","533",8470.46
"2024-03-23","subsequent_over_half_week","11311","30841","85144","166",2447.56
"2024-03-23","subsequent_under_half_week","7164","12149","32940","92",994.01
"2024-03-24","first_day","45975","57548","140070","516",7754.48
"2024-03-24","subsequent_over_half_week","9408","24774","68546","131",1857.04
"2024-03-24","subsequent_under_half_week","7367","13091","34796","125",1852.24
"2024-03-25","first_day","45848","58341","143125","532",7942.19
"2024-03-25","subsequent_over_half_week","8730","23307","65074","116",1803.21
"2024-03-25","subsequent_under_half_week","7713","13874","36524","106",1398.8
"2024-03-26","first_day","46321","58628","139898","629",9066.82
"2024-03-26","subsequent_over_half_week","8569","23084","64269","74",1399.47
"2024-03-26","subsequent_under_half_week","6453","11408","29463","55",803.01
"2024-03-27","first_day","43764","55907","138693","553",7663.71
"2024-03-27","subsequent_over_half_week","9782","26625","74053","119",1470.6
"2024-03-27","subsequent_under_half_week","6838","11881","30627","62",967.94
"2024-03-28","first_day","46859","59238","144100","527",7750.66
"2024-03-28","subsequent_over_half_week","11045","30480","85628","117",1754.48
"2024-03-28","subsequent_under_half_week","6280","10562","27321","54",1120.05
"2024-03-29","first_day","44297","55860","137778","425",7289.9
"2024-03-29","subsequent_over_half_week","10702","29696","84706","117",1716.01
"2024-03-29","subsequent_under_half_week","5125","8491","22208","39",771.5
"2024-03-30","first_day","40285","49908","123021","382",5955.3
"2024-03-30","subsequent_over_half_week","9966","27567","79322","118",2036.78
"2024-03-30","subsequent_under_half_week","5844","9788","26211","41",735.51
"2024-03-31","first_day","37962","47238","117223","333",6022.72
"2024-03-31","subsequent_over_half_week","8905","23328","66929","89",1501.5
"2024-03-31","subsequent_under_half_week","6590","11908","31975","73",1375
"2024-04-01","first_day","43531","55218","136824","355",6028.15
"2024-04-01","subsequent_over_half_week","9154","23933","68374","104",1523.5
"2024-04-01","subsequent_under_half_week","8053","14967","39699","65",1239.6
"2024-04-02","first_day","41654","53500","133007","376",6943.51
"2024-04-02","subsequent_over_half_week","8879","22947","65225","89",1167.08
"2024-04-02","subsequent_under_half_week","6666","11643","31308","65",958.5
"2024-04-03","first_day","38888","49817","123958","355",5845.72
"2024-04-03","subsequent_over_half_week","8615","22350","63281","64",902
"2024-04-03","subsequent_under_half_week","6316","11207","29706","62",799.04
"2024-04-04","first_day","40871","52072","127524","421",6739.27
"2024-04-04","subsequent_over_half_week","9504","24672","68615","86",1373
"2024-04-04","subsequent_under_half_week","5936","10328","27532","40",675.5
"2024-04-05","first_day","37335","47052","117009","347",5299.62
"2024-04-05","subsequent_over_half_week","10099","26839","75378","84",1076.95
"2024-04-05","subsequent_under_half_week","5010","8572","23399","35",663.5
"2024-04-06","first_day","40255","50089","126207","372",6211.54
"2024-04-06","subsequent_over_half_week","10155","26922","75225","75",1092.01
"2024-04-06","subsequent_under_half_week","6120","10119","27502","40",675.1
"2024-04-07","first_day","40310","49725","126816","369",6513.38
"2024-04-07","subsequent_over_half_week","8708","21513","59184","47",595.98
"2024-04-07","subsequent_under_half_week","7061","12416","33007","65",820.5
