disco_event_time,disco_order_time,DAYS_TO_ATTRIBUTION,EVENT_TYPE,CUSTOMER_TYPE,ATTRIBUTION_METHOD,BILLABLE_AMOUNT,event_sec_dist,order_sec_dist,avg_sec_dist,cl_order_num_count,claim?,cl_order_num,northbeam_platform,cl_source,cl_order_time,cl_event_time,cl_attribution_days
2023-12-28 15:08:32.004000+00:00,2024-01-01 01:41:52+00:00,4,display,returning,consumer_hash,20,4567,1363,2965,4,no,2335883,Organic,direct,2024-01-01 01:19:09+00:00,2023-12-28 16:24:38.506000+00:00,3
2024-01-24 18:58:37.350000+00:00,2024-01-27 19:16:12+00:00,3,display,returning,direct_email_match,20,2790,3162,2976,3,,2391979,Facebook Ads,fb,2024-01-27 18:23:30+00:00,2024-01-24 18:12:07.338000+00:00,3
2024-01-26 22:54:04.111000+00:00,2024-01-27 02:26:20+00:00,1,display,returning,device_identifier_hash,20,506,5448,2977,3,,2391057,Organic,direct,2024-01-27 03:57:08+00:00,2024-01-26 22:45:37.813000+00:00,0
2023-12-31 20:25:11.010000+00:00,2024-01-02 02:59:42+00:00,2,display,new,order_mapping_hash,32,1426,4529,2978,6,no,2338429,Organic,direct,2024-01-02 01:44:13+00:00,2023-12-31 20:48:57.142000+00:00,1
2024-01-07 01:21:10.940000+00:00,2024-01-07 20:04:47+00:00,0,display,new,order_mapping_hash,32,2104,3852,2978,1,,2350862,Organic,direct,2024-01-07 21:08:59+00:00,2024-01-07 00:46:07.035000+00:00,0
2024-01-16 15:22:03.837000+00:00,2024-01-16 17:53:54+00:00,0,display,returning,device_identifier_hash,20,3411,2549,2980,2,,2368920,Google Ads,adwords,2024-01-16 18:36:23+00:00,2024-01-16 14:25:12.345000+00:00,0
2023-12-29 20:52:37.085000+00:00,2024-01-01 20:56:35+00:00,3,display,returning,consumer_hash,20,3780,2181,2980,10,no,2337609,Organic,direct,2024-01-01 20:20:14+00:00,2023-12-29 19:49:37.228000+00:00,3
2024-01-16 17:02:15.196000+00:00,2024-01-22 17:33:42+00:00,6,display,returning,direct_email_match,20,3400,2565,2982,2,,2381875,Klaviyo,utm medium - email,2024-01-22 18:16:27+00:00,2024-01-16 16:05:35.304000+00:00,6
2024-01-06 13:11:22.545000+00:00,2024-01-06 15:46:09+00:00,0,display,new,consumer_hash,32,1705,4260,2983,1,,2347895,Facebook Organic,fb,2024-01-06 14:35:09+00:00,2024-01-06 13:39:47.596000+00:00,0
2024-01-20 05:30:45.683000+00:00,2024-01-20 15:16:44+00:00,0,display,returning,direct_email_match,20,5500,471,2985,1,,2376518,Organic,direct,2024-01-20 15:24:35+00:00,2024-01-20 03:59:06.115000+00:00,0
2024-01-17 22:14:44.287000+00:00,2024-01-24 01:16:01+00:00,7,display,new,direct_email_match,32,5413,563,2988,7,,2384554,Facebook Ads,fb,2024-01-24 01:06:38+00:00,2024-01-17 20:44:31.652000+00:00,6
2024-01-20 03:35:58.407000+00:00,2024-01-22 00:22:23+00:00,2,display,returning,direct_email_match,20,3555,2435,2995,6,,2380394,MNTN,mntn,2024-01-22 01:02:58+00:00,2024-01-20 04:35:13.188000+00:00,1
2023-12-31 04:26:26.452000+00:00,2024-01-01 14:48:37+00:00,1,display,new,consumer_hash,32,5159,844,3001,3,no,2336795,Organic,direct,2024-01-01 15:02:41+00:00,2023-12-31 03:00:27.722000+00:00,1
2023-12-29 15:11:19.172000+00:00,2024-01-02 17:30:04+00:00,4,display,lapsed,order_mapping_hash,32,144,5879,3011,17,,2339833,MNTN,mntn,2024-01-02 19:08:03+00:00,2023-12-29 15:13:42.983000+00:00,4
2024-01-01 21:10:09.127000+00:00,2024-01-05 18:39:45+00:00,4,display,returning,consumer_hash,20,3202,2826,3014,1,,2346289,Organic,direct,2024-01-05 17:52:39+00:00,2024-01-01 22:03:30.938000+00:00,3
2024-01-13 04:34:24.868000+00:00,2024-01-16 02:49:30+00:00,3,display,new,direct_email_match,32,1537,4496,3016,1,,2367948,Facebook Ads,fb,2024-01-16 04:04:26+00:00,2024-01-13 04:08:47.913000+00:00,2
2024-01-25 17:23:35.552000+00:00,2024-01-29 06:52:17+00:00,4,display,returning,direct_email_match,20,484,5554,3019,4,,2395876,Klaviyo,utm medium - email,2024-01-29 05:19:43+00:00,2024-01-25 17:31:39.382000+00:00,3
2024-01-09 00:04:53.424000+00:00,2024-01-09 02:29:03+00:00,0,display,returning,device_identifier_hash,20,146,5899,3023,1,,2353142,Facebook Ads,fb,2024-01-09 00:50:44+00:00,2024-01-09 00:07:19.503000+00:00,0
2023-12-31 03:19:52.708000+00:00,2024-01-01 17:55:05+00:00,1,display,new,direct_email_match,32,4184,1881,3032,8,no,2337173,MNTN,mntn,2024-01-01 17:23:44+00:00,2023-12-31 04:29:36.494000+00:00,1
2023-12-27 18:39:31.960000+00:00,2024-01-02 17:54:17+00:00,6,display,new,consumer_hash,32,6043,29,3036,8,,2339655,Google Ads,adwords,2024-01-02 17:54:46+00:00,2023-12-27 16:58:48.719000+00:00,6
2023-12-29 16:13:41.425000+00:00,2024-01-01 19:24:15+00:00,3,display,returning,consumer_hash,20,4096,1990,3043,2,no,2337401,Organic,direct,2024-01-01 18:51:05+00:00,2023-12-29 15:05:25.153000+00:00,3
2024-01-18 15:58:42.054000+00:00,2024-01-21 20:18:45+00:00,3,display,returning,direct_email_match,20,5130,977,3054,8,,2379728,Klaviyo,utm medium - email,2024-01-21 20:02:28+00:00,2024-01-18 17:24:12.522000+00:00,3
2024-01-12 15:47:31.285000+00:00,2024-01-16 05:44:42+00:00,4,display,returning,direct_email_match,20,643,5475,3059,2,,2367969,MNTN,mntn,2024-01-16 04:13:27+00:00,2024-01-12 15:58:14.759000+00:00,3
2024-01-24 14:47:41.229000+00:00,2024-01-27 02:46:51+00:00,3,display,returning,direct_email_match,20,3460,2705,3083,2,,2390854,Organic Search,referral,2024-01-27 02:01:46+00:00,2024-01-24 15:45:21.479000+00:00,2
2024-01-26 15:17:25.972000+00:00,2024-01-27 20:50:03+00:00,1,display,new,direct_email_match,32,352,5827,3089,3,,2392490,Organic,direct,2024-01-27 22:27:10+00:00,2024-01-26 15:11:34.345000+00:00,1
2024-01-25 20:17:38.943000+00:00,2024-01-26 18:47:52+00:00,1,display,new,direct_email_match,32,1051,5131,3091,2,,2390162,Organic,direct,2024-01-26 20:13:23+00:00,2024-01-25 20:00:08.406000+00:00,1
2024-01-23 20:50:21.934000+00:00,2024-01-30 22:01:34+00:00,7,display,returning,direct_email_match,20,1883,4331,3107,5,,2399368,Google Ads,adwords,2024-01-30 23:13:45+00:00,2024-01-23 21:21:44.489000+00:00,7
2024-01-04 23:40:50.120000+00:00,2024-01-05 04:42:55+00:00,1,display,lapsed,device_identifier_hash,32,5980,243,3111,2,,2345468,Organic,direct,2024-01-05 04:38:52+00:00,2024-01-04 22:01:10.148000+00:00,0
2024-01-28 00:34:09.454000+00:00,2024-01-28 02:51:43+00:00,0,display,lapsed,device_identifier_hash,32,4575,1656,3115,3,,2392897,Organic,direct,2024-01-28 02:24:07+00:00,2024-01-27 23:17:54.824000+00:00,0
2023-12-31 23:51:03.978000+00:00,2024-01-05 23:29:52+00:00,5,display,returning,consumer_hash,20,774,5467,3121,3,,2347159,Organic,direct,2024-01-06 01:00:59+00:00,2024-01-01 00:03:58.256000+00:00,5
2024-01-04 15:42:28.243000+00:00,2024-01-05 15:00:14+00:00,1,display,new,order_mapping_hash,32,4640,1603,3121,1,,2345943,Klaviyo,utm medium - email,2024-01-05 15:26:57+00:00,2024-01-04 14:25:08.395000+00:00,1
2024-01-22 13:39:46.942000+00:00,2024-01-28 23:45:38+00:00,6,display,returning,direct_email_match,20,1174,5072,3123,1,,2395106,Google Ads,adwords,2024-01-29 01:10:10+00:00,2024-01-22 13:59:21.352000+00:00,6
2024-01-14 03:19:00.445000+00:00,2024-01-14 09:06:30+00:00,0,display,new,device_identifier_hash,32,4807,1451,3129,3,,2363633,Organic,direct,2024-01-14 08:42:19+00:00,2024-01-14 01:58:53.146000+00:00,0
2024-01-24 21:13:56.701000+00:00,2024-01-27 03:21:58+00:00,3,display,new,direct_email_match,32,2188,4128,3158,1,,2390877,Facebook Ads,fb,2024-01-27 02:13:10+00:00,2024-01-24 20:37:28.708000+00:00,2
2023-12-31 16:20:54.290000+00:00,2024-01-01 04:12:02+00:00,1,display,returning,order_mapping_hash,20,3276,3053,3164,1,,2336132,Klaviyo,utm medium - email,2024-01-01 03:21:09+00:00,2023-12-31 17:15:30.115000+00:00,0
2023-12-29 18:07:18.975000+00:00,2024-01-04 21:20:02+00:00,6,display,returning,consumer_hash,20,172,6160,3166,6,,2344785,MNTN,mntn,2024-01-04 23:02:42+00:00,2023-12-29 18:10:10.555000+00:00,6
2023-12-29 07:21:48.780000+00:00,2024-01-02 18:18:52+00:00,4,display,new,consumer_hash,32,3381,2951,3166,17,,2339833,MNTN,mntn,2024-01-02 19:08:03+00:00,2023-12-29 08:18:10.248000+00:00,4
2024-01-03 11:26:28.779000+00:00,2024-01-04 13:56:59+00:00,1,display,new,consumer_hash,32,5911,424,3167,1,,2343547,Organic,direct,2024-01-04 13:49:55+00:00,2024-01-03 13:04:59.542000+00:00,1
2024-01-03 23:32:13.618000+00:00,2024-01-04 03:27:30+00:00,1,display,returning,device_identifier_hash,20,4374,1965,3169,2,,2342986,Google Ads,adwords,2024-01-04 02:54:45+00:00,2024-01-03 22:19:19.803000+00:00,0
2024-01-22 02:58:02.551000+00:00,2024-01-23 14:13:19+00:00,1,display,new,direct_email_match,32,6012,346,3179,3,,2383319,Facebook Ads,fb,2024-01-23 14:07:33+00:00,2024-01-22 01:17:50.744000+00:00,1
2024-01-16 22:35:01.042000+00:00,2024-01-18 20:14:49+00:00,2,display,returning,direct_email_match,20,783,5598,3190,4,,2373066,Organic,direct,2024-01-18 21:48:07+00:00,2024-01-16 22:48:03.923000+00:00,1
2024-01-26 12:52:41.160000+00:00,2024-01-26 22:55:09+00:00,0,display,new,direct_email_match,32,6182,209,3196,2,,2390510,Klaviyo,utm medium - email,2024-01-26 22:58:38+00:00,2024-01-26 14:35:43.468000+00:00,0
2024-01-28 18:01:22.197000+00:00,2024-01-28 23:09:34+00:00,0,display,returning,device_identifier_hash,20,4157,2245,3201,4,,2394677,Klaviyo,utm medium - email,2024-01-28 22:32:09+00:00,2024-01-28 19:10:39.403000+00:00,0
2024-01-13 23:42:18.091000+00:00,2024-01-14 03:01:54+00:00,1,display,new,direct_email_match,32,1871,4539,3205,1,,2363498,Organic Search,referral,2024-01-14 04:17:33+00:00,2024-01-14 00:13:28.988000+00:00,0
2024-01-07 02:23:54.384000+00:00,2024-01-13 19:20:39+00:00,6,display,returning,direct_email_match,20,5058,1356,3207,2,,2362340,Organic,direct,2024-01-13 19:43:15+00:00,2024-01-07 03:48:12.334000+00:00,6
2024-01-30 00:18:42.277000+00:00,2024-01-30 18:52:09+00:00,0,display,returning,direct_email_match,20,6400,25,3212,1,,2398877,Organic,direct,2024-01-30 18:52:34+00:00,2024-01-29 22:32:02.697000+00:00,0
2024-01-21 05:32:10.279000+00:00,2024-01-21 05:38:52+00:00,0,display,new,device_identifier_hash,32,3015,3417,3216,2,,2378585,Unattributed,unattributed,2024-01-21 04:41:55+00:00,2024-01-21 04:41:55+00:00,0
2024-01-06 14:03:36.865000+00:00,2024-01-06 16:20:24+00:00,0,display,returning,order_mapping_hash,20,4243,2193,3218,2,,2348011,Organic,direct,2024-01-06 15:43:51+00:00,2024-01-06 15:14:19.842000+00:00,0
2024-01-12 15:53:13.828000+00:00,2024-01-16 18:35:57+00:00,4,display,returning,direct_email_match,20,3883,2569,3226,5,,2368823,Rakuten,utm medium -,2024-01-16 17:53:08+00:00,2024-01-12 14:48:30.951000+00:00,4
2024-01-04 15:09:38.163000+00:00,2024-01-05 14:04:46+00:00,1,display,returning,order_mapping_hash,20,2302,4165,3234,2,,2345649,Organic,direct,2024-01-05 12:55:21+00:00,2024-01-04 15:48:00.413000+00:00,0
2024-01-12 18:19:48.820000+00:00,2024-01-18 17:07:21+00:00,6,display,new,direct_email_match,32,6143,325,3234,3,,2372522,Organic,direct,2024-01-18 17:12:46+00:00,2024-01-12 20:02:12.062000+00:00,5
2024-01-01 04:07:01.324000+00:00,2024-01-08 02:58:06+00:00,7,display,returning,order_mapping_hash,20,4034,2469,3251,6,,2351527,Facebook Ads,fb,2024-01-08 02:16:57+00:00,2024-01-01 05:14:15.150000+00:00,6
