event_diff_sec,formatted_time_diff
-51479.0,14.3 hr before
6399.3,1.8 hr after
6519.5,1.8 hr after
6623.0,1.8 hr after
6820.8,1.9 hr after
6966.5,1.9 hr after
10579.0,2.9 hr after
10715.7,3 hr after
12108.1,3.4 hr after
12148.0,3.4 hr after
12475.8,3.5 hr after
13074.4,3.6 hr after
-57911.0,16.1 hr before
15241.6,4.2 hr after
16520.2,4.6 hr after
17131.1,4.8 hr after
18042.2,5 hr after
19851.2,5.5 hr after
-60823.0,16.9 hr before
19869.8,5.5 hr after
22166.3,6.2 hr after
22173.0,6.2 hr after
34662.2,9.6 hr after
40146.9,11.2 hr after
-75381.0,20.9 hr before
-75437.0,21 hr before
43592.7,12.1 hr after
-62.5,1 min before
63.1,1.1 min after
-100.7,1.7 min before
101.8,1.7 min after
-120.6,2 min before
-160.4,2.7 min before
-1272714.6,2.1 week before
1341.8,22.4 min after
-247.7,4.1 min before
366.7,6.1 min after
-1891.6,31.5 min before
-1268629.6,2.1 week before
-1265654.4,2.1 week before
2067.8,34.5 min after
423.1,7.1 min after
-1262636.5,2.1 week before
423.1,7.1 min after
-147705.3,1.7 day before
5699.1,1.6 hr after
-660.7,11 min before
-714.0,11.9 min before
-1261974.6,2.1 week before
-785.7,13.1 min before
950.1,15.8 min after
-1218.3,20.3 min before
-1264.7,21.1 min before
1343.9,22.4 min after
-1543.4,25.7 min before
9703.8,2.7 hr after
35316.2,9.8 hr after
42695.5,11.9 hr after
11377.1,3.2 hr after
45446.5,12.6 hr after
51143.9,14.2 hr after
84116.0,23.4 hr after
38.2,38.2 sec after
-123081.7,1.4 day before
-114146.9,1.3 day before
84212.5,23.4 hr after
-1261750.1,2.1 week before
130.2,2.2 min after
-1258286.0,2.1 week before
-1246455.4,2.1 week before
26365.1,7.3 hr after
-49089.4,13.6 hr before
-220.3,3.7 min before
288.2,4.8 min after
95685.4,1.1 day after
-1244686.4,2.1 week before
147456.7,1.7 day after
311.8,5.2 min after
-107703.8,1.2 day before
-964.8,16.1 min before
149417.6,1.7 day after
1638.2,27.3 min after
149417.6,1.7 day after
-1244642.9,2.1 week before
149417.6,1.7 day after
-37527.1,10.4 hr before
190291.2,2.2 day after
-1593.0,26.6 min before
-1244148.9,2.1 week before
-1242948.7,2.1 week before
-1240123.9,2.1 week before
-1235633.7,2 week before
-1225407.2,2 week before
-43479.0,12.1 hr before
1789.7,29.8 min after
1638.2,27.3 min after
-2054.1,34.2 min before
-92463.9,1.1 day before
46447.5,12.9 hr after
-1221308.0,2 week before
2119.2,35.3 min after
-50260.3,14 hr before
2414.6,40.2 min after
2914.5,48.6 min after
-1219158.0,2 week before
-55828.0,15.5 hr before
-84093.9,23.4 hr before
-58347.0,16.2 hr before
-58880.7,16.4 hr before
-58944.7,16.4 hr before
3998.8,1.1 hr after
-59808.1,16.6 hr before
-1215720.6,2 week before
-1214380.5,2 week before
-2657.2,44.3 min before
-1214013.9,2 week before
-1213473.6,2 week before
-63762.0,17.7 hr before
-64176.9,17.8 hr before
2857.0,47.6 min after
5718.7,1.6 hr after
-1211750.8,2 week before
-1209750.6,2 week before
3197.7,53.3 min after
-1209522.1,2 week before
-81387.1,22.6 hr before
3224.2,53.7 min after
-1207476.7,2 week before
-1206493.2,2 week before
-69142.9,19.2 hr before
-69145.1,19.2 hr before
-80082.1,22.2 hr before
-1203749.6,2 week before
-1197469.2,2 week before
-1197469.2,2 week before
-1186426.5,2 week before
