client_event_time,client_order_time,EVENT_CLASSIFICATION,CONVERSION_TYPE,CUSTOMER_TYPE,ATTRIBUTION_METHOD,DAYS_TO_ATTRIBUTION,BILLABLE_AMOUNT,event_distance,order_distance,avg_distance,cadenlane_order_number,cadenlane_northbeam_platform,cadenlane_source,cadenlane_order_time,cadenlane_event_time,cadenlane_attribution_days
2024-01-20 16:40:31.818000+00:00,2024-01-23 03:24:05+00:00,display,cross-sell,returning,direct_email_match,3,20.0,10791.71,3999.0,7395.355,2382766,Organic,direct,2024-01-23 02:17:26+00:00,2024-01-20 19:40:23.528000+00:00,2
2024-01-20 16:44:04.318000+00:00,2024-01-20 18:26:32+00:00,display,cross-sell,new,device_identifier_hash,0,32.0,580.007,1192.0,886.0035,2377199,Google Ads,adwords,2024-01-20 18:46:24+00:00,2024-01-20 16:34:24.311000+00:00,0
2024-01-20 17:20:33.960000+00:00,2024-01-27 23:08:57+00:00,display,cross-sell,returning,direct_email_match,7,20.0,134.597,13941.0,7037.7985,2392100,Organic,direct,2024-01-27 19:16:36+00:00,2024-01-20 17:22:48.557000+00:00,7
2024-01-20 17:26:42.619000+00:00,2024-01-27 14:02:20+00:00,display,cross-sell,returning,direct_email_match,7,20.0,1448.362,13815.0,7631.6810000000005,2391922,Klaviyo,utm medium - email,2024-01-27 17:52:35+00:00,2024-01-20 17:02:34.257000+00:00,7
2024-01-20 17:28:07.421000+00:00,2024-01-21 23:00:05+00:00,display,cross-sell,returning,direct_email_match,1,20.0,2492.57,1069.0,1780.785,2380090,Organic,direct,2024-01-21 22:42:16+00:00,2024-01-20 16:46:34.851000+00:00,1
2024-01-20 17:44:59.688000+00:00,2024-01-26 13:52:14+00:00,display,cross-sell,returning,direct_email_match,6,20.0,1690.333,192.0,941.1665,2389088,Klaviyo,utm medium - email,2024-01-26 13:49:02+00:00,2024-01-20 18:13:10.021000+00:00,5
2023-12-30 13:52:36.801000+00:00,2024-01-02 19:58:11+00:00,display,cross-sell,returning,consumer_hash,3,20.0,2064.161,3008.0,2536.0805,2339833,Microsoft Ads,microsoft,2024-01-02 19:08:03+00:00,2023-12-30 13:18:12.640000+00:00,3
2023-12-30 14:39:31.464000+00:00,2024-01-06 03:24:27+00:00,display,cross-sell,new,direct_email_match,7,32.0,4246.78,9493.0,6869.889999999999,2347132,MNTN,mntn,2024-01-06 00:46:14+00:00,2023-12-30 13:28:44.684000+00:00,6
2024-01-03 16:00:12.980000+00:00,2024-01-08 03:14:32+00:00,display,cross-sell,new,order_mapping_hash,5,32.0,92.691,4117.0,2104.8455,2351802,Facebook Ads,fb,2024-01-08 04:23:09+00:00,2024-01-03 15:58:40.289000+00:00,4
2024-01-03 16:19:03.987000+00:00,2024-01-09 19:43:07+00:00,display,cross-sell,returning,direct_email_match,6,20.0,3332.718,5614.0,4473.359,2354245,Klaviyo,utm medium - email,2024-01-09 18:09:33+00:00,2024-01-03 17:14:36.705000+00:00,6
