order_number,northbeam_platform,source,order_time,event_time,attribution_days,total_tp,tp_seq
2388092,Unattributed,unattributed,2024-01-25 21:53:52+00:00,2024-01-25 21:53:52+00:00,0,6,6
2388104,Facebook Ads,fb,2024-01-25 22:00:31+00:00,2024-01-25 21:28:02.771000+00:00,0,2,1
2388104,Unattributed,unattributed,2024-01-25 22:00:31+00:00,2024-01-25 22:00:31+00:00,0,2,2
2388134,Klaviyo,utm medium - email,2024-01-25 22:19:37+00:00,2024-01-22 05:14:41.846000+00:00,3,2,1
2388134,Unattributed,unattributed,2024-01-25 22:19:37+00:00,2024-01-25 22:19:37+00:00,0,2,2
2388166,Unattributed,unattributed,2024-01-25 22:37:53+00:00,2024-01-25 22:37:53+00:00,0,1,1
2388191,Unattributed,unattributed,2024-01-25 22:57:53+00:00,2024-01-25 22:57:53+00:00,0,1,1
2388298,Facebook Ads,fb,2024-01-26 00:06:39+00:00,2024-01-12 01:40:47.606000+00:00,13,5,1
2388298,MNTN,mntn,2024-01-26 00:06:39+00:00,2024-01-12 17:12:13.210000+00:00,13,5,2
2388298,MNTN,mntn,2024-01-26 00:06:39+00:00,2024-01-16 00:59:14.846000+00:00,9,5,3
2388298,MNTN,mntn,2024-01-26 00:06:39+00:00,2024-01-19 12:16:19.097000+00:00,6,5,4
2388298,Unattributed,unattributed,2024-01-26 00:06:39+00:00,2024-01-26 00:06:39+00:00,0,5,5
2388367,Google Ads,adwords,2024-01-26 00:42:21+00:00,2024-01-25 02:45:02.463000+00:00,0,2,1
2388367,Unattributed,unattributed,2024-01-26 00:42:21+00:00,2024-01-26 00:42:21+00:00,0,2,2
2388383,Unattributed,unattributed,2024-01-26 00:50:45+00:00,2024-01-26 00:50:45+00:00,0,1,1
2388431,Google Ads,adwords,2024-01-26 01:12:58+00:00,2024-01-26 01:09:48.349000+00:00,0,2,1
2388431,Unattributed,unattributed,2024-01-26 01:12:58+00:00,2024-01-26 01:12:58+00:00,0,2,2
2388447,Facebook Ads,fb,2024-01-26 01:21:37+00:00,2024-01-12 13:25:52.333000+00:00,13,18,1
