ticket,order_url,timestamp,in_db
PTEST-157,https://www.carawayhome.com/?utm_source=klaviyo&utm_medium=email&utm_campaign=%5BTransactional%5D%20Order%20Confirmation%202022&utm_klaviyo_id=01HSQCCF0NJDTZEPQRZ6BADH0V&_kx=5aBYg4eergUWVwaKXn9ZatFOce61mO1sU3x3P5Isvy4.JMdCfQ,23/Mar/24 10:03 PM,False
PTEST-156,https://cookanyday.com/25893240922/orders/76739b417e368ea2e1a3834f3fb39589,18/Mar/24 10:10 AM,True
PTEST-155,https://blendjet.com/6644334658/orders/33349b4b817beae39e28513d6d89d66a,18/Mar/24 9:54 AM,True
PTEST-154,https://www.ettitude.com/checkouts/cn/1e7417f7bad3b615a5ab6f8ab09f4e73/thank_you,18/Mar/24 9:32 AM,True
PTEST-153,https://doublesoul.co/47258992799/orders/b943cb6215a086911e743195c61537e2,18/Mar/24 8:23 AM,False
PTEST-152,https://maverickandco.co/13017071/orders/b7da6a6828c793e3537689f61e7dc425,18/Mar/24 7:58 AM,False
PTEST-151,https://foodhuggers.com/3079937/checkouts/eeddf30f351e16cec7debf7836a744eb/thank_you,17/Mar/24 8:16 PM,False
PTEST-150,https://www.bandier.com/25056968738/checkouts/3066f5c86514868f4504db876620842c/thank_you,15/Mar/24 10:42 AM,True
PTEST-149,https://koparibeauty.com/7777633/orders/4a3e2b7b6b6552f03b95077a9a57af2f,15/Mar/24 10:26 AM,True
PTEST-148,https://www.crownaffair.com/checkouts/cn/d1d51bc00aec98a7c439add0a4287766/thank_you,15/Mar/24 8:11 AM,True
PTEST-147,https://www.billyreid.com/31437652012/orders/0095a092615138ad1a37bcd8899124c2,15/Mar/24 7:00 AM,True
PTEST-146,https://www.hatchcollection.com/19918975/orders/c84dbf998978a23f4872858bf8c794b8,15/Mar/24 6:59 AM,True
PTEST-145,https://www.morphe.com/checkouts/co/3a992fa3d91cd8bae0252697298bdef8/thank_you,12/Mar/24 10:40 AM,True
PTEST-144,https://www.us.rains.com/24181767/checkouts/9af8aa23eff4ab0355c5f5176f9b6d5a/thank_you,12/Mar/24 10:21 AM,True
PTEST-143,https://elegantbaby.com/checkouts/cn/3519415214da20c2c589f60983b64152/thank_you,11/Mar/24 12:51 PM,True
PTEST-142,https://fahertybrand.com/3598357/orders/0163af1833d7f8d6bfbed19f07af488b/authenticate?key=f40a2cd5e56f1ede682d74aada61f4cb,07/Mar/24 2:39 PM,False
PTEST-141,https://us.dollarshaveclub.com/56839438384/orders/14cc6a2295f4ab78507b473acae6254c,04/Mar/24 11:29 AM,True
PTEST-140,https://shop.hedleyandbennett.com/1870608/orders/ca7fed88277b5084517c4b658914ff3c,04/Mar/24 11:27 AM,True
PTEST-139,https://kosas.com/13154091065/orders/045d9a0a9fc0e9cd90999b1a448d1742,04/Mar/24 6:31 AM,True
PTEST-138,https://www.dropps.com/2684219/checkouts/0df78119612874a18f8677527835e6cc/thank_you,04/Mar/24 6:07 AM,True
PTEST-137,https://thehoneypot.co/checkouts/cn/8c598935b1a8545586ad0470b30642fe/thank_you,04/Mar/24 6:06 AM,True
PTEST-136,https://store.dsanddurga.com/checkouts/cn/65cd3e2cc7df31928de79757d44a45d4/thank_you,02/Mar/24 10:50 AM,True
PTEST-135,https://soldejaneiro.com/checkouts/co/a2227df97674f9d1738aff4d25b4a129/thank_you,02/Mar/24 10:49 AM,True
